             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0              31            0.149            -12.8            -16.7              108             10.9             3.17             1.58
               1            46.1           0.0575            -10.4              -16              105             8.77             2.21             1.08
               2            50.6           0.0423            -9.56            -16.4             94.7             8.51                2             1.03
               3            51.5           0.0416            -9.37            -16.2               90             8.34             1.95             0.99
