             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0           -5.02           0.0869            -11.9            -10.9             96.8             10.5             3.13             1.64
               1            8.42          0.00929            -9.01            -9.84             63.3             11.1             3.35             1.79
               2            15.6          0.00081            -8.06            -10.2               42             12.2             3.53             2.07
               3            17.4         0.000878            -7.72            -8.49             42.3             11.9              3.2             1.97
