             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0            38.2          0.00633            -5.89            -10.6             67.2              5.5             1.15            0.675
               1            33.5           0.0102            -5.51            -10.2               62             5.35            0.828            0.631
               2            32.4           0.0139            -5.43            -10.4             61.8             5.28            0.795            0.612
               3            29.5           0.0195            -5.52            -10.5             59.9             6.29             1.97            0.907
