             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0              42           0.0288            -9.74            -14.9              159               42           0.0288            -9.74
               1            71.7          0.00107            -6.24            -14.6              130             71.7          0.00107            -6.24
               2              73         0.000506            -6.05            -11.4              120               73         0.000506            -6.05
               3            71.3          0.00055               -6            -12.2              117             71.3          0.00055               -6
