             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0            49.9            0.144            -13.3            -19.3              140             9.41             2.41             1.22
               1            64.9           0.0747            -11.3            -19.6              131             9.44             2.59             1.24
               2            68.9           0.0492            -10.3            -18.4              139             9.64             2.66             1.29
               3            70.7           0.0375            -9.91              -19              135             9.65              2.7              1.3
